Paper Title,Venue,Year,Data,Users,Users lables,Tasks,Tasks Labels,"Visualization Levels (Disseminative visualization, Observational visualization, Analytical visualization, Model-developmental visualization)",Visual Representations,Visual analytics techniques (approach),DOI Link,Keyword Search On,Notes,link in Dropbox,Search
An Interactive Dashboard for Statistical Analysis of Intensive Care Unit COVID-19 Data,,2024,COVID-19 data,,,"they present the development of a full-stack Web application for the Predictive Models of COVID-19 Outcomes for Higher Risk Patients Towards a Precision Medicine (PREMO) project, consisting of a dashboard providing statistical analysis, data visualization, data import, and data export",Model,Observational Visualization,"web application and interactive dashboard that includes pie charts and bar charts, scatter plots,
and box plots, curves plots, line graphs, ",,https://doi.org/10.3390/biomedinformatics4010026,Pandemic + visualization,,https://www.dropbox.com/scl/fi/683hzr87x91y4de5jy8vw/An-Interactive-Dashboard-for-Statistical-Analysis-of-Intensive-Care-Unit-COVID-19-Data.pdf?rlkey=2iomiybao8yrlh0608rfv0vwg&dl=0,2nd round
An Interactive Relevance Feedback Interface for Evidence-Based HealthCare,IUI,2023,"Epistemonikos Documents Dataset
Epistemonikos is a collaborative database which stores research articles that provide the best evidence according to the EBHC principles",,,"They design, implement and evaluate EpistAid, an interactive relevance feedback system to support physicians towards a more efficient citation screening process for Evidence Based Health Care (EBHC).",Visualize,Observational Visualization,"they proposed EpistAid web application, an interactive relevance feedback system that includes 7 views: Navigation Bar that provides buttons to control it, Documents’ Bins, Documents Visualization area shows documents as figures in a 2D chart, Document Detail shows document meta-data and Actions Timeline shows the actions performed by the user sorted by time.",,https://doi.org/10.1145/3172944.3172953,Healthcare + visualization,,https://www.dropbox.com/scl/fi/2proy3160ei6bmbhuoif1/An-Interactive-Relevance-Feedback-Interface-for-Evidence-Based-HealthCare.pdf?rlkey=zklawa5fbika1992gwefx5mru&dl=0,2nd round
An investigation of emerging COVID-19 research trends and future implications for LIS field: A bibliometric mapping and visualization,,2021,Scopus database,not relevant; bibliometrics vis only,,,,,"network visualization map, bar chart, line chart, word clouds.",,https://doi.org/10.1177/09610006211053043,,bibliometric analysis,https://www.dropbox.com/scl/fi/n7ualcd27nf8sj00exfdi/sheikh-et-al-2021-an-investigation-of-emerging-covid-19-research-trends-and-future-implications-for-lis-field-a.pdf?rlkey=e1uw6jeukmyr8ugahuuhuhx2y&dl=0,1st round
"Analysis and visualization of COVID-19 discourse on Twitter using data science: a case study of the USA, the UK and Indi",,2022,Twitter data,,,"This paper aims to understand, examine and interpret the main concerns and emotions
of the people regarding COVID-19 pandemic in the UK, the USA and India using Data Science
measures.",Analyze,bservational Visualization,"line chart, word clouds, violin plot, a combined chart of bar and word clouds, box-plot chart ","unsupervised and supervised machine learning methods, i.e. topic modeling and sentiment analysis on Twitter data for extracting the topics of discussion and calculating public sentiment.",https://doi.org/10.1108/GKMC-01-2021-0006,Pandemic + visualization,Able to access through King's,https://www.dropbox.com/scl/fi/fwvu0ixsummz685dspaqr/10-1108_GKMC-01-2021-0006.pdf?rlkey=9mpb1zju7hl8fra1i0uk471xo&dl=0,2nd round
Analyzing and visualizing global research trends on COVID-19 linked to sustainable development goals,,2023,Scopus database,not relevant; bibliometrics vis only,,,,,"Choropleth map, Network visualization map, Density visualization map",bibliometric analysis including network and map diagrams.,https://doi.org/10.1007/s10668-022-02275-w,,bibliometric analysis,https://www.dropbox.com/scl/fi/pjfntv77wa78g53uyeg5n/Analyzing-and-visualizing-global-research-trends-on-COVID-19-linked-to-sustainable-development-goals.pdf?rlkey=4nqngjyymeyn71dqmjnwxzsyh&dl=0,1st round
Artificial intelligence with multi-functional machine learning platform development for better healthcare and precision medicine,,2020,Survey paper,,,"survey paper. They focused on analyzing and discussing various published artificial intelligence and machine learning solutions, approaches and perspectives.",Others,Observational Visualization,,,https://doi.org/10.1093/database/baaa010,Healthcare + visualization,survey paper,https://www.dropbox.com/scl/fi/dysk7acfhjyk479dv3g8s/Artificial-intelligence-with-multi-functional-machine-learning-platform-development-for-better-healthcare-and-precision-medicine.pdf?rlkey=stksgho2qytcdv0oipd7ob1o4&dl=0,2nd round
At a Glance: Pixel Approximate Entropy as a Measure of Line Chart Complexity,IEEE TVCG,2019,Multiple time-series data - medical & financial datasets,not relevant; no dedicated users,,"proposes Pixel Approximate Entropy (PAE), which adapts the approximate entropy statistical measure commonly used to quantify regularity and unpredictability in time-series data, as a measure of visual complexity for line charts.",Analyze,Analytical Visualization,"Visualization of four line charts: 3rd order polynomial, cosine, Gaussian, and linear",A visual complexity measure for line charts. No specifics to COVID analytics,https://doi.org/10.1109/TVCG.2018.2865264,Emergency responses + visualization,not relevant,https://www.dropbox.com/scl/fi/4z13rnal1etv74tu0oq74/At_a_Glance_Pixel_Approximate_Entropy_as_a_Measure_of_Line_Chart_Complexity.pdf?rlkey=exfcvi36w3xjkv0d1zjus6l8i&dl=0,1st & 2nd round
Bibliometric and Visualization Analysis of Human Coronaviruses: Prospects and Implications for COVID-19 Research,,2020,Scopus database,not relevant; bibliometrics vis only,,,,,"bar chart, line chart, network visualization map, ",COVID publicatoin metadata analysis by co-authors by contry and institutions; keyword co-occurrence; results visualization using network vis. Not about use of VIS in COVID research.,https://doi.org/10.3389/fcimb.2020.581404,,bibliometric analysis,https://www.dropbox.com/scl/fi/wazibmlmixktt8ztb009p/Bibliometric-and-Visualization-Analysis-of-Human-Coronaviruses-Prospects-and-Implications-for-COVID-19-Research.pdf?rlkey=fh8xr1ex1ibuez4jooy1ihl9j&dl=0,1st round
Bibliometric and visualization analysis of research trend in mental health problems of children and adolescents during the COVID-19 pandemic,,2022,Web of Science database,not relevant; analyzes/visualizes publications,,,,,"bar chart, network visualization, cluster network, Timeline visualization of clusters, ",,https://doi.org/10.3389/fpubh.2022.1040676,,bibliometric analysis,https://www.dropbox.com/scl/fi/jflvdocpooymju7wa0sjl/Bibliometric-and-visualization-analysis-of-research-trend-in-mental-health-problems-of-children-and-adolescents-during-the-COVID-19-pandemic.pdf?rlkey=2oezk8x876nf68mceisiv6m8g&dl=0,1st round
Big Data Visualization and Visual Analytics of COVID-19 Data,,2020,"Didn't specify where but collects different categories of big COVID-19 epidemiological data from different sources (e.g., federal and provincial/territorial governments).",No dedicated users,, to develop a big data visualization and visual analytics tool specifically tailored for visualizing and analyzing COVID-19 epidemiological data,Visualize,Model-developmental Visualization,"bubble map, choropleth map, stacked area under curve, column chart, line graph","Big data visualization: Utilizing visualization techniques to represent and analyze large volumes of data.
Visual analytics: Employing visual analytics techniques to gain insights and extract valuable knowledge from the data.
Tailored tool: Developing a specialized tool specifically designed for visualizing and analyzing COVID-19 epidemiological data.
Applicability to other domains: While the focus is on COVID-19 data, the tool is designed to be applicable to big data visualization and visual analytics in various other real-life applications and services.",https://doi.org/10.1109/IV51561.2020.00073,,,https://www.dropbox.com/scl/fi/oxlatm3x1zbmdxbdq9amw/Big_Data_Visualization_and_Visual_Analytics_of_COVID-19_Data.pdf?rlkey=if48hkxtle838ga79rz2dzidr&dl=0,1st round
Breaking the Fourth Wall of Data Stories through Interaction,IEEE Transactions on Visualization and Computer Graphics,2022,Data stories from multiple online resources,"data journalists, data visualization experts"," [Domain Subtype]: data journalists, data visualization experts","Exploring the design patterns of BTFW interaction in data stories.
Identifying benefits and concerns associated with using BTFW interaction.
Assessing the impact of BTFW interaction on self-story connection, user engagement, and information recall.
Discussing design implications to address potential negative effects of BTFW interaction.",Analyze,Analytical Visualization,This paper introduces the concept of breaking the fourth wall (BTFW) in the context of data-driven storytelling and explores different design patterns of BTFW interaction.,"Design patterns analysis: Identifying common patterns of BTFW interaction in data stories.
User study: Conducting sessions to evaluate the impact of BTFW interaction on various aspects such as self-story connection, user engagement, and information recall.
Discussion of design implications: Analyzing the findings to propose recommendations for addressing concerns and optimizing the use of BTFW interaction in data storytelling.",https://doi.org/10.1109/TVCG.2022.3209409,pandemic,,https://www.dropbox.com/scl/fi/w3ohtulimzcn3g5o3dhov/Breaking_the_Fourth_Wall_of_Data_Stories_through_Interaction.pdf?rlkey=fzlmp3fb0vz3vxmjkusn4tm8d&dl=0,1st round
Business analytics-enabled decision-making effectiveness through knowledge absorptive capacity in health care,,2017,surveyed data (?),,,"They examine the mechanisms by which business analytics (BA) capabilities (i.e. the effective use of data aggregation, analytics and data interpretation tools) in healthcare units indirectly influence decision-making effectiveness through the mediating role of knowledge absorptive capacity.",Analyze,Analytical Visualization,,,https://doi.org/10.1108/JKM-08-2015-0301,Healthcare + visualization,survey paper,https://www.dropbox.com/scl/fi/rvfa0eiodt2cewx90877u/Business-analytics-enabled-decision-making-effectiveness-through-knowledge-absorptive-capacity-in-health-care.pdf?rlkey=gbxal8km3rtuko61t75wuisqj&dl=0,2nd round
Chronodes: Interactive Multifocus Exploration of Event Sequences,ACM TIIS,2018,Longitudinal mobile health data,"Health researchers and experts in the mHealth domain.
Participants in the pilot study (20 behavioral and biomedical health experts).", [Domain Subtype]: global health experts,"Explorative analysis of longitudinal mHealth data: Understanding patterns and trends in the data.
Multifocus event sequence analysis: Interactively defining, exploring, and comparing groups of participant behaviors using event sequence combinations.
Summarizing insights gained from the pilot study: Evaluating the efficacy and potential impact of Chronodes in the mHealth domain.
Outlining open challenges in mHealth and offering recommendations and design guidelines for future research.",Analyze / Understand,"Observational Visualization, Analytical Visualization","interactive system that includes event derivation interface, scatter plot, ","Data mining: Used to extract frequent event sequences from longitudinal mHealth data.
Human-centric visualization techniques: Employed to visualize the extracted event sequences and chronological patterns.
Novel interaction techniques: Integrated into the system to enable multifocus event sequence analysis, allowing users to interactively define, explore, and compare participant behaviors.
Evaluation of Chronodes efficacy and potential impact through a pilot study with behavioral and biomedical health experts.
Discussion of open challenges in mHealth and offering recommendations and design guidelines for future research based on the findings",https://doi.org/10.1145/3152888,Healthcare + visualization,,https://www.dropbox.com/scl/fi/yyki4i70eae1q8aodqgjv/Chronodes-Interactive-Multifocus-Exploration-of-Event-Sequences.pdf?rlkey=1uy6ni2f6ni8y2vkzhqzm1rxe&dl=0,2nd round
Co-authorship visualization of research on COVID-19 from Web of Science data using bibliometric analysis,,2020,,not relevant; only visualizes metadata of publications,,,,,"network visualization, ",,,,bibliometric analysis,https://www.dropbox.com/scl/fi/t4kn49b3nl86yrnd0tru0/Co-Authorship-Visualization-of-Resear-uthorship-Visualization-of-Research-on-CO-ch-on-COVID-19-fr-VID-19-from-Web.pdf?rlkey=chlkwhgyphus6xo9i950so6ao&dl=0,1st round
Contribution of Saudi Arabia to regional and global publications on COVID-19–related research: A bibliometric and visualization analysis,,2022,Page not found?,not relevant; analyzes/visualizes publications,,,,,"bar chart, area chart, visualization network map, Country collaboration map, clusters,",,https://doi.org/10.1016/j.jiph.2022.05.013,,bibliometric analysis,https://www.dropbox.com/scl/fi/bbnwh5zt406hl72cx1itz/Contribution-of-Saudi-Arabia-to-regional-and-global-publications-on-COVID-19-related-research.pdf?rlkey=2cfptjqoz7k1jmyym5s3cr3l4&dl=0,1st round
ConVis: A Visual Text Analytic System for Exploring Blog Conversations,CGF,2014,"Comments in online conversations (e.g., blogs).","Individuals interested in analyzing and gaining insights from online conversations, particularly blog discussions.
Users with varying levels of expertise in text analytics and visualization.","[Public], [Domain Subtype]: text analytics and visualization experts","Exploring and gaining insights from long conversations in blog discussions.
Analyzing metadata and textual content to extract meaningful information.
Interacting with the visual text analytic system to explore and navigate through blog conversations effectively.
Evaluating the effectiveness of the system in fulfilling users' information needs.",Analyze,Analytical Visualization,"they presented a visual text analytic system that integrates interactive visualization that includes The Thread Overview visually represents the whole conversation and the Facet Overview presents
topics and authors circularly around the Thread Overview with curved links; while the Conversation View presents the actual conversation in a scrollable list ","data mining and human-centric visualization techniques such as event alignment, ",http://dx.doi.org/10.1111/cgf.12378,Healthcare + visualization,,https://www.dropbox.com/scl/fi/0y4y16h40iu3i71dgufhh/Computer-Graphics-Forum-2014-Hoque-ConVis-A-Visual-Text-Analytic-System-for-Exploring-Blog-Conversations.pdf?rlkey=i0gnzndgthg7hdyqqy3m1pqxw&dl=0,2nd round
Coronavirus disease-19 in environmental fields: a bibliometric and visualization mapping analysis,,2021,Scopus database,not relevant; only visualizes metadata of publications/bibliometric analysis,,,,,"color intensity map, Network visualization map, density visualization map, clusters, word clouds, ",,https://doi.org/10.1007/s10668-020-01004-5,,bibliometric analysis,https://www.dropbox.com/scl/fi/bd44hevetxqn1y9snzyyy/Coronavirus-disease-19-in-environmental-fields-a-bibliometric-and-visualization-mapping-analysis.pdf?rlkey=5kyh9o120ysimxi9uxeyx6epn&dl=0,1st round
Covasim: An agent-based model of COVID-19 dynamics and interventions,,2021,"COVID-19 data, demographic data, contact tracing data, etc.","Epidemiologists
Policymakers
Public health officials
Researchers
Modelers","[Public], [Policymakers], [Domain Subtype]: Epidemiologists
Policymakers, Public health officials, Researchers, Modelers","Projecting epidemic trends
Exploring intervention scenarios
Estimating resource needs
Examining epidemic dynamics
Informing policy decisions
Running realistic and highly customized scenarios",Model ,Model-developmental Visualization,"webapp with multiple views that include network models, matrices, line and area charts, trees","Agent-based modeling: Covasim utilizes an agent-based simulation approach to model epidemic dynamics and intervention effects.
Realistic transmission networks: Incorporating realistic transmission networks in the model to simulate the spread of the virus within different social layers.
Extensive set of interventions: Covasim supports a wide range of interventions and allows users to customize and combine them to explore their effects on epidemic outcomes.
Performance optimization: Designed with equal emphasis on performance, ease of use, and flexibility, allowing realistic and highly customized scenarios to be run efficiently on standard hardware.
Collaboration with local health agencies and policymakers: The model has been applied in collaboration with local health agencies and policymakers in various countries to inform policy decisions and address specific epidemic challenges.",https://doi.org/10.1371/journal.pcbi.1009149,Epidemiological modeling + visualization,,https://www.dropbox.com/scl/fi/fvp0lsbp00jqjcskuoq53/Covasim-An-agent-based-model-of-COVID-19-dynamics-and-interventions.pdf?rlkey=9h4clu2z8n2b7s3dtl3wpzjl5&dl=0,2nd round
COVIC: Collecting Visualizations of COVID-19 to Outline a Space of Possibilities ,,2022,Unsure (?),survey of public dashboards/vis and metadata of news websites; public,[Public],"Collecting COVID-19 visualizations: Gathering visual representations related to the pandemic from various sources.
Classifying visualizations: Organizing and categorizing the collected visualizations based on different criteria (e.g., type of visualization, intended audience, date of creation).
Analyzing the role and impact of COVID-19 visualizations: Investigating the significance and effectiveness of visualizations in communicating information about the pandemic.
Exploring historical visualizations: Examining past visualizations to understand how the pandemic was portrayed and perceived at different times and in different regions.",Analyze,Analytical Visualization,"dashboard contains map, line chart, numeric. Qualitative and Quantitative Figures. article–figure, like maps and charts, relationship. stacked area chart. images visualized in Trails. They presents a table of different visualization and interaction techniques.","Data collection and classification: Methodologies for gathering COVID-19 visualizations from diverse sources and organizing them systematically.
Historical analysis: Techniques for examining past visualizations to understand their role in documenting the pandemic and shaping public perception.
Comparative analysis: Approaches for comparing different visualizations to identify common trends, variations, or biases in how the pandemic was represented visually.
Audience analysis: Methods for evaluating the effectiveness of COVID-19 visualizations in reaching and engaging specific target audiences.",https://doi.org/10.1162/desi_a_00697,,,https://www.dropbox.com/scl/fi/ygbpi32ckfivyoxe1sqjv/COVIC-Collecting-Visualizations.pdf?rlkey=nl8u2gn1bxup6x501r5g9mjl0&dl=0,1st round
COVID-19 detection and disease progression visualization: Deep learning on chest X-rays for classification and coarse localization,,2020,Two publicly available chest X-ray datasets,not relevant; only visualization of chest x-rays and biomarkers,,,,,"pi chart, line chart, Activation map visualization, ",,https://doi.org/10.21203/rs.3.rs-34534/v1,,not relevant,https://www.dropbox.com/scl/fi/devfe0cu9q0ri8v6onhrz/COVID-19-detection-and-disease-progression.pdf?rlkey=5icklak3n898v8bekq9eshg4c&dl=0,1st round
COVID-19 Joint Pandemic Modeling and Analysis Platform,,2020,"Doesn't quite say the type of data except mutiple sources - COVID-19, demographics, etc.","Government officials
Academia
Medical professionals
Citizens
Decision-makers involved in pandemic response efforts","[Public], [Policymakers], [Domain Subtype]: Public health officials, Researchers","They developed an all-encompassing situational awareness platform that can process multi-modal and multi-source data allowing informed decision making. Besides, showing the current spread of infection, the platform also captures the impact of human dynamics on the infection spread, location, and availability of critical infrastructure, prediction, and high-performance computing driven simulation.",Model/Visualize,Model-developmental Visualization,"they created several dashboards that include map, line chart, scatter plot, bar chart ","Data integration and processing: Methods for aggregating, cleaning, and analyzing diverse datasets from multiple sources.
Real-time analytics: Techniques for processing and visualizing data in near real-time to support timely decision-making.
Predictive modeling: Development and deployment of predictive models to forecast future trends and assess the potential impact of interventions.
Simulation-based analysis: Utilization of high-performance computing-driven simulations to explore different scenarios and assess their potential outcomes.
Third-party integration: Extensibility features allowing other services and applications to consume curated data and analytics for their own purposes.",https://doi.org/10.1145/3423459.3430760,Emergency responses + visualization,,https://www.dropbox.com/scl/fi/6nulz3v9u01c61qabomfs/COVID-19-Joint-Pandemic-Modeling-and-Analysis-Platform.pdf?rlkey=ds9edi2evqxt6lbohygzcmlb4&dl=0,2nd round
COVID-19 Medical Research in Oman: A Bibliometric and Visualization Study,,2022,"Scopus database, main search keywords were ‘COVID-19’ and ‘Oman’, from 1 December 2019 to 21 August 2021",not relevant; only bibliometric analysis/vis,,,,,"Network visualization map, clusters",,https://doi.org/10.5001/omj.2022.73,,bibliometric analysis,https://www.dropbox.com/scl/fi/2tn181k4te9qgwncy90i6/COVID-19-Medical-Research-in-Oman-A-Bibliometric-and-Visualization-Study.pdf?rlkey=wr9ihc77z9d51ojjbhmgse6lz&dl=0,1st round
COVID-19 outbreak: Tweet based analysis and visualization towards the influence of coronavirus in the world,,2020,"Tweet dataset: Textual data collected from Twitter, containing public opinions and sentiments regarding the COVID-19 pandemic.",only vis of NLP metrics for tweets/metadata; no dedicated users besides reader of the paper,,"Analyzing the influence of COVID-19: Examining how the pandemic has affected public opinion worldwide.
Visualizing sentiment analysis results: Presenting the distribution of positive and negative sentiments across different regions or time periods.",Analyze/Visualize,Analytical Visualization,"histogram, violin chart, bar chart, Scatter plot matrix, box and whisker plots, ","Sentiment analysis: Using machine learning algorithms (such as Naive Bayes, SVM, Max Entropy, Decision Tree, Boosting, Random Forest) to classify tweets into positive or negative sentiments based on their content.
Ensemble techniques: Combining the predictions of multiple machine learning classifiers to improve overall accuracy.
LogitBoost: A specific ensemble technique used in this study, which incorporates sentiment scores as input features for the classifiers.
Accuracy assessment: Evaluating the performance of different machine learning approaches in sentiment analysis based on their accuracy in predicting sentiment labels.",https://doi.org/10.37896/gor33.02/062,,,https://www.dropbox.com/scl/fi/s3kgxlax1sxykihsz89v7/COVID-19-outbreak-Tweet-based-analysis-and-visualization-towards-the-influence-of-coronavirus-in-the-world.pdf?rlkey=2z6dzok2snex65v57gfrr1pz2&dl=0,1st round
COVID-19 pandemic data visualization with moment about midpoint: exploratory and expository analyses,,2020,WHO situation reports,unknown (I guess researchers?),[Domain Subtype]: researchers,"Visualizing COVID-19 data: Using Exploratory Data Analysis (EDA) techniques to create visualizations that tell the story of the COVID-19 pandemic.
Descriptive analysis: Examining trends in cumulative cases and deaths over time, across different WHO regions.",Analyze/Visualize,Observational Visualization,"pi chart, bar chart, line chart, grouped bar chart, ","Exploratory Data Analysis (EDA): Utilizing EDA techniques to explore and analyze the COVID-19 data.
Moment about a midpoint: A statistical technique used in conjunction with EDA to analyze the data.
Descriptive analysis: Summarizing key findings and trends observed in the data without making predictions or causal inferences.",http://dx.doi.org/10.9734/AJPAS/2020/v8i430212,,,https://www.dropbox.com/scl/fi/6yjroyuvxijhzwr9xthtd/COVID-19-Pandemic-Data-Visualization-with-Moment-about-Midpoint-Exploratory-and-Expository-Analyses.pdf?rlkey=dnh37mnbzkbnu3qq8m2m0vlqs&dl=0,1st round
COVID-19 research progress: Bibliometrics and visualization analysis,,2021,"Web of Science Core Collection (WoSCC) was searched for all documents regarding COVID-19, MERS-Cov, and SARS-Cov from the beginning to 2020.",not relevant,,,,,Network visualization map,,https://doi.org/10.47176/mjiri.35.20,,bibliometric analysis,https://www.dropbox.com/scl/fi/2tn181k4te9qgwncy90i6/COVID-19-Medical-Research-in-Oman-A-Bibliometric-and-Visualization-Study.pdf?rlkey=wr9ihc77z9d51ojjbhmgse6lz&dl=0,1st round
Covid-19 Tracker: A data visualization tool for time series data of pandemic in India,,2021,COVID-19 data,"General public interested in tracking the spread of COVID-19.
Health officials and policymakers seeking insights into the pandemic's impact"," [Policymakers], [Domain Subtype]: Public health officials","Visualizing COVID-19 data: Displaying patterns and trends in COVID-19 cases through graphs, search results, and tables.
Providing real-time updates: Offering up-to-date information on the current state of the pandemic in India.
Facilitating user interaction: Allowing users to search for specific information, compare data across states, and explore hotspot distributions.",Visualize,Observational Visualization,"dashboard includes color-coded map, time series line chart, bar chart, line chart, color-coded table,","Dashboard design: Organizing and presenting data in a user-friendly interface.
HTML and JavaScript: Technologies used to build the dashboard.
Data visualization: Presenting complex data in a simple and easy-to-understand format, enabling users to extract useful insights from the dashboard.",https://doi.org/10.1109/CSDE53843.2021.9718425,Pandemic + visualization,,https://www.dropbox.com/scl/fi/3octzymfk0vqmasus77cp/Covid-19_Tracker_A_data_visualization_tool_for_time_series_data_of_pandemic_in_India.pdf?rlkey=n6sirc8s0zla7zt1u2mltuf9h&dl=0,2nd round
COVID-19 Vaccination Data Visualization: Issues and Challenges,,2020,Open data Covid-19 from Ministry of Health Malaysia and questionnaire on vaccine recipients,public/citizens,[Public],"Visualizing COVID-19 vaccination datasets: Analyzing patterns and trends in vaccination rates across different demographics and regions.
Identifying issues and challenges in data visualization: Exploring difficulties in creating effective and understandable dashboards for COVID-19 vaccination data.
Evaluating effectiveness and acceptance of COVID-19 tracker dashboards.",Analyze/Visualize,Analytical Visualization,"dashboard, tree map, bar chart, ","Identification of issues in data visualization: Recognizing challenges such as mis-choice of colors, visual object types, lack of interactivity, and information overload.
Proposed solutions: Suggesting alternative approaches to address visualization issues, including deliberate color choices, suitable visual object selection, creation of interactive dashboards, and reduction of information overload.",https://doi.org/10.1109/IVIT55443.2022.10033417,,,https://www.dropbox.com/scl/fi/5c58uk2ski8kqdx00fyu5/COVID-19_Vaccination_Data_Visualization_Issues_and_Challenges.pdf?rlkey=vx5eficocj8ev8ujgxkr7qtzd&dl=0,1st round
COVID-19: Visualized Qualitative Aviation Research Themes,,2023,Web of Science database,not relevant; bibliometrics are visualized,,,,,"density maps, network visualization map,  ",,https://doi.org/10.7771/2159-6670.1247,,bibliometric analysis,https://www.dropbox.com/scl/fi/dj3fzgm96rlcdzja8wori/COVID-19_-Visualized-Qualitative-Aviation-Research-Themes.pdf?rlkey=psk2orqfyn8ilbwruajgae11w&dl=0,1st round
COVID-ABS: An agent-based model of COVID-19 epidemic to simulate health and economic effects of social distancing interventions,,2020,Doesn't quite say but maybe COVID-19 data real and artificial,"Policymakers and health authorities involved in planning interventions against the COVID-19 epidemic.
Researchers and analysts studying the impact of different intervention strategies on public health and the economy.","[Policymakers], [Domain Subtype]: Public health officials, Researchers","Simulation of pandemic dynamics: Using the COVID-ABS SEIR agent-based model to simulate the spread of the virus and the effects of various intervention strategies.
Analysis of intervention scenarios: Evaluating the epidemiological and economic effects of seven different social distancing interventions.
Decision-making support: Providing insights to policymakers and health authorities to aid in planning actions against the COVID-19 epidemic.",Analyze/Visualize,Analytical Visualization,"line chart, bar chart, area chart, scatter plot","SEIR agent-based modeling: Simulating pandemic dynamics using a model that emulates individuals' susceptibility, exposure, infection, and recovery.
Scenario analysis: Evaluating the impact of various social distancing interventions on epidemiological and economic factors.
Source code availability: Providing transparency and reproducibility by making the Python code publicly available for the COVID-ABS model.",https://doi.org/10.1016/j.chaos.2020.110088,Epidemiological modeling + visualization,,https://www.dropbox.com/scl/fi/73piwe9su1xdnbxu06ksr/COVID-ABS-An-agent-based-model-of-COVID-19-epidemic-to-simulate-health-and-economic-effects-of-social-distancing-interventions.pdf?rlkey=sqtj0icknjaovz7bqzmladoii&dl=0,2nd round
COVID19α: Interactive spatio-temporal visualization of COVID-19 symptoms through tweet analysis,IUI,2021,Tweets,"Health professionals
Scientists
Policymakers","[Policymakers], [Domain Subtype]: Public health officials, Researchers","Analyzing COVID-19 related symptoms globally.
Building an interactive spatio-temporal visualization tool.
Providing insights into the spatial and temporal distribution of COVID-19 symptoms.
Enabling comparative visualizations between different symptoms across time and space.
Facilitating the development of targeted health intervention policies.",Analyze/Visualize,Analytical Visualization,"1) Spatial Visualization with a focus on visualizing COVID-19 symptoms across
different geographic locations; 2) Temporal Visualization with a focus on visualizing the evolution of COVID-19 symptoms over time for a particular geographic location; and 3) Spatio-Temporal with a focus on combining both spatial and temporal Visualization analysis to provide comparative visualizations between two (or more) symptoms across time and space

interactive spatio-temporal visualization tool includes clustered map, Word-Cloud Visualization, Dynamic Temporal Simulation, Time-series Map, ","Interactive visualization: Building an interactive tool, COVID19α, to facilitate exploration and analysis of COVID-19 symptoms.
Spatial and temporal analysis: Utilizing spatial and temporal dimensions to provide insights into the distribution and evolution of COVID-19 symptoms.
Comparative analysis: Enabling comparison between different symptoms across different regions and time periods.",https://doi.org/10.1145/3397482.3450715,Pandemic + visualization,,https://www.dropbox.com/scl/fi/lbffpav0b5ukkd7eszcje/COVID19-Interactive-spatio-temporal-visualization-of-COVID-19-symptoms-through-tweet-analysis.pdf?rlkey=95d1j9bx9e0tjsytfc6ohu5xm&dl=0,2nd round
Current global research landscape on COVID-19 and cancer: Bibliometric and visualization analysis,,2022,Scopus database,not relevant; bibliometrics are visualized,,,,,network visualization map,,https://doi.org/10.5306/wjco.v13.i10.835,,bibliometric analysis,https://www.dropbox.com/scl/fi/85jta4eadnwenbtsy0ixz/Current-global-research-landscape-on-COVID-19-and-cancer.pdf?rlkey=zo8e1pu56esfkykbelcvxnryc&dl=0,1st round
Current global research landscape on COVID-19 and depressive disorders: Bibliometric and visualization analysis,,2021,Scopus database,not relevant; bibliometrics are visualized,,,,,"network visualization map, ",,https://doi.org/10.5498/wjp.v11.i6.253,,bibliometric analysis,https://www.dropbox.com/scl/fi/vrhx31cetftdfmscaogex/Current-global-research-landscape-on-COVID-19-and-depressive-disorders.pdf?rlkey=9i83gg2mybsyahjo28ocum783&dl=0,1st round
Dashboard development for near real-time visualization of COVID-19 vaccine safety surveillance data in the Vaccine Safety Datalink,,2022,Surveillance data related to COVID-19 vaccines collected by the Vaccine Safety Datalink (VSD).,CDC vaccine safety datalink staff == public health experts," [Policymakers], [Domain Subtype]: Public health officials","Conducting near real-time safety surveillance of COVID-19 vaccines.
Developing and maintaining an internal dashboard for visualization and rapid review of large weekly automated vaccine safety surveillance data.
Providing situational awareness on vaccination coverage and the status of safety analyses among the VSD population.",Analyze/Visualize,"Analytical Visualization, Disseminative Visualization","dashboard, bar chart, line chart, histogram","RapidCycleAnalysis: Conducting near real-time analysis of vaccine safety data to identify potential safety signals.
Stakeholder Engagement: Involving vaccines surveillance data users and safety partners in the development and maintenance of the dashboard to ensure relevance and usability.
Situational Awareness: Providing dynamic visualizations to monitor vaccination coverage and safety analysis results to inform decision-making in public health settings.",https://doi.org/10.1016/j.vaccine.2022.04.010,,,https://www.dropbox.com/scl/fi/cze6uclylqy9ugc3bejzz/Dashboard-development-for-near-real-time-visualization-of-COVID-19.pdf?rlkey=28q0un6cmatqfc55fjgp2lhvj&dl=0,1st round
Data analytics and visualization using Tableau utilitarian for COVID-19 (Coronavirus),,2020,Unsure (?),"unknown, not relevant IMHO; reads more like a manual to set up tableau visualizations",,,,,this is a review of Tableau,,https://doi.org/10.30574/gjeta.2020.3.2.0029,,not relevant,https://www.dropbox.com/scl/fi/zoqdn7076nmqfvoha5zp7/Data-analytics-and-visualization-using-Tableau-utilitarian-for-COVID-19-Coronavirus.pdf?rlkey=qhn1o4baqpxvynfllr8i7zabi&dl=0,1st round
